ID_Factura,Fecha_Envio,Fecha_Recepcion,Producto,Proveedor,Categoria,Subcategoria,Cantidad,Costo_Unitario,Precio_Presupuesto,Total_Compra,Ciudad_Origen,Region,Almacen_Destino,Dias_en_Transito,Estado_Entrega,Bandera_Incidencia,Nivel_Severidad,Responsable
FAC-3000,09/03/2026,11/03/2026,Frutas Especial,Proveedor_Frutas_Mon,Perecederos,Frutas,368,69.54,63.41,25590.72,Monterrey,Norte,Almacen Norte,2,Entregado,0,,A. Morales
FAC-3001,03/01/2026,05/01/2026,Aves Especial,Proveedor_Aves_Gua,Proteínas,Aves,117,93.24,94.63,10909.08,Guadalajara,Occidente,Almacen Central,2,Entregado,0,,A. Morales
FAC-3002,05/02/2026,07/02/2026,Aceites Especial,Proveedor_Aceites_Mon,Abarrotes,Aceites,329,474.23,480.06,156021.67,Monterrey,Norte,Almacen Norte,2,Parcial,1,9.0,A. Morales
FAC-3003,05/01/2026,06/01/2026,Res Especial,Proveedor_Res_Mon,Proteínas,Res,223,154.23,140.03,34393.29,Monterrey,Norte,Almacen Norte,1,Entregado,0,,A. Morales
FAC-3004,14/01/2026,19/01/2026,Aves Especial,Proveedor_Aves_Mer,Proteínas,Aves,242,115.54,107.04,27960.68,Merida,Sureste,Almacen Sur,5,Entregado,0,,A. Morales
FAC-3005,25/01/2026,27/01/2026,Granos Especial,Proveedor_Granos_CDM,Abarrotes,Granos,82,22.38,22.09,1835.16,CDMX,Centro,Almacen Sur,2,Entregado,0,,A. Morales
FAC-3006,17/02/2026,21/02/2026,Frutas Especial,Proveedor_Frutas_Mer,Perecederos,Frutas,158,59.77,57.08,9443.66,Merida,Sureste,Almacen Sur,4,Entregado,0,,A. Morales
FAC-3007,15/02/2026,17/02/2026,Aves Especial,Proveedor_Aves_Gua,Proteínas,Aves,27,113.83,106.29,3073.41,Guadalajara,Occidente,Almacen Central,2,Entregado,0,,A. Morales
FAC-3008,01/01/2026,02/01/2026,Bebidas Especial,Proveedor_Bebidas_CDM,Abarrotes,Bebidas,164,45.94,42.93,7534.16,CDMX,Centro,Almacen Sur,1,Entregado,0,,A. Morales
FAC-3009,13/03/2026,15/03/2026,Cerdo Especial,Proveedor_Cerdo_Gua,Proteínas,Cerdo,321,131.23,128.67,42124.83,Guadalajara,Occidente,Almacen Central,2,Entregado,0,,A. Morales
FAC-3009,13/03/2026,15/03/2026,Cerdo Especial,Proveedor_Cerdo_Gua,Proteínas,Cerdo,321,131.23,128.67,42124.83,Guadalajara,Occidente,Almacen Central,2,Entregado,0,,A. Morales
FAC-3009,13/03/2026,15/03/2026,Cerdo Especial,Proveedor_Cerdo_Gua,Proteínas,Cerdo,321,131.23,128.67,42124.83,Guadalajara,Occidente,Almacen Central,2,Entregado,0,,A. Morales
FAC-3012,29/01/2026,30/01/2026,Lácteos Especial,Proveedor_Lácteos_Mon,Perecederos,Lácteos,162,81.01,81.42,13123.62,Monterrey,Norte,Almacen Norte,1,Entregado,0,,A. Morales
FAC-3013,04/03/2026,06/03/2026,Aceites Especial,Proveedor_Aceites_Gua,Abarrotes,Aceites,220,539.23,558.42,118630.6,Guadalajara,Occidente,Almacen Central,2,Entregado,0,,A. Morales
FAC-3014,25/02/2026,26/02/2026,Aceites Especial,Proveedor_Aceites_Mon,Abarrotes,Aceites,243,563.33,482.87,136889.19,Monterrey,Norte,Almacen Norte,1,Entregado,0,,A. Morales
FAC-3015,28/01/2026,01/02/2026,Aves Especial,Proveedor_Aves_Mer,Proteínas,Aves,283,104.36,99.52,29533.88,Merida,Sureste,Almacen Sur,4,Entregado,0,,A. Morales
